区域名称,阵风（级）,能见度（公里）,最大湿度（百分比）,风向,紫外线（指数）,最低能见度（公里）,浪高(米),降雨量（毫米）,阵风风向,湿度（百分比）,最低温度（摄氏度）,风力（级）,最高温度（摄氏度）
1,5,15,95,2,0,10.0,0.0,0.0,2,55,22,3,29
2,5,15,95,5,0,10.0,0.0,0.0,5,65,22,3,29
2,5,15,95,1,0,10.0,0.0,0.0,1,60,21,3,28
2,5,15,95,2,0,10.0,0.0,0.0,2,55,22,3,29
3,5,15,95,5,0,10.0,0.0,0.0,5,65,22,3,29
3,5,15,95,1,0,10.0,0.0,0.0,1,60,21,3,28
3,5,15,95,2,0,10.0,0.0,0.0,2,55,22,3,29
4,5,15,95,5,0,10.0,0.0,0.0,5,65,22,3,29
4,5,15,95,1,0,10.0,0.0,0.0,1,60,21,3,28
4,5,15,95,2,0,10.0,0.0,0.0,2,55,22,3,29
5,5,15,95,5,0,10.0,0.0,0.0,5,65,22,3,29
5,5,15,95,1,0,10.0,0.0,0.0,1,60,21,3,28
5,5,15,95,2,0,10.0,0.0,0.0,2,55,22,3,29
6,5,15,95,5,0,10.0,0.0,0.0,5,65,22,3,29
6,5,15,95,1,0,10.0,0.0,0.0,1,60,21,3,28
6,5,15,95,2,0,10.0,0.0,0.0,2,55,22,3,29
7,5,15,95,5,0,10.0,0.0,0.0,5,65,22,3,29
7,5,15,95,1,0,10.0,0.0,0.0,1,60,21,3,28
7,5,15,95,2,0,10.0,0.0,0.0,2,55,22,3,29
1,5,15,95,1,0,3.0,0.0,0.0,1,65,21,3,28
1,5,15,95,5,0,3.0,0.0,0.0,5,75,20,3,27
1,5,15,95,2,0,3.0,0.0,0.0,2,75,23,3,29
1,5,15,95,2,0,3.0,0.0,0.0,2,75,23,3,29
2,5,15,95,1,0,3.0,0.0,0.0,1,65,21,3,28
2,5,15,95,5,0,3.0,0.0,0.0,5,75,20,3,27
3,5,15,95,1,0,3.0,0.0,0.0,1,65,21,3,28
3,5,15,95,5,0,3.0,0.0,0.0,5,75,20,3,27
4,5,15,95,1,0,3.0,0.0,0.0,1,65,21,3,28
4,5,15,95,5,0,3.0,0.0,0.0,5,75,20,3,27
5,4,15,95,5,0,3.0,0.0,1.2,5,75,22,3,28
5,5,15,95,2,0,3.0,0.0,0.0,2,75,23,3,29
5,5,15,95,2,0,3.0,0.0,0.0,2,75,23,3,29
6,4,15,95,5,0,3.0,0.0,1.2,5,75,22,3,28
6,5,15,95,2,0,3.0,0.0,0.0,2,75,23,3,29
6,5,15,95,2,0,3.0,0.0,0.0,2,75,23,3,29
7,4,15,95,5,0,3.0,0.0,1.2,5,75,22,3,28
7,5,15,95,2,0,3.0,0.0,0.0,2,75,23,3,29
7,5,15,95,2,0,3.0,0.0,0.0,2,75,23,3,29
1,6,15,95,2,0,1.0,0.0,0.0,2,75,21,4,28
2,6,15,95,2,0,1.0,0.0,0.0,2,75,21,4,28
3,6,15,95,2,0,1.0,0.0,0.0,2,75,21,4,28
4,6,15,95,2,0,1.0,0.0,0.0,2,75,21,4,28
5,6,15,95,2,0,1.0,0.0,0.0,2,75,21,4,28
6,6,15,95,2,0,1.0,0.0,0.0,2,75,21,4,28
7,6,15,95,2,0,1.0,0.0,0.0,2,75,21,4,28
1,4,15,100,1,0,1.0,0.0,3.0,1,75,22,3,28
1,4,15,95,2,0,1.0,0.0,0.0,2,75,23,3,29
1,4,15,95,2,0,1.0,0.0,0.0,2,75,22,3,29
1,5,15,100,5,0,1.0,0.0,0.0,5,75,20,4,28
1,4,15,85,5,0,1.0,0.0,0.0,5,60,19,3,27
2,4,15,100,1,0,1.0,0.0,3.0,1,75,22,3,28
2,4,15,95,2,0,1.0,0.0,0.0,2,75,23,3,29
2,4,15,95,2,0,1.0,0.0,0.0,2,75,22,3,29
2,5,15,100,5,0,1.0,0.0,0.0,5,75,20,4,28
2,4,15,85,5,0,1.0,0.0,0.0,5,60,19,3,27
3,4,15,100,1,0,1.0,0.0,3.0,1,75,22,3,28
3,4,15,95,2,0,1.0,0.0,0.0,2,75,23,3,29
3,4,15,95,2,0,1.0,0.0,0.0,2,75,22,3,29
3,5,15,100,5,0,1.0,0.0,0.0,5,75,20,4,28
3,4,15,85,5,0,1.0,0.0,0.0,5,60,19,3,27
4,4,15,100,1,0,1.0,0.0,3.0,1,75,22,3,28
4,4,15,95,2,0,1.0,0.0,0.0,2,75,23,3,29
4,4,15,95,2,0,1.0,0.0,0.0,2,75,22,3,29
4,5,15,100,5,0,1.0,0.0,0.0,5,75,20,4,28
4,4,15,85,5,0,1.0,0.0,0.0,5,60,19,3,27
5,4,15,100,1,0,1.0,0.0,3.0,1,75,22,3,28
5,4,15,95,2,0,1.0,0.0,0.0,2,75,23,3,29
5,4,15,95,2,0,1.0,0.0,0.0,2,75,22,3,29
5,5,15,100,5,0,1.0,0.0,0.0,5,75,20,4,28
5,4,15,85,5,0,1.0,0.0,0.0,5,60,19,3,27
6,4,15,100,1,0,1.0,0.0,3.0,1,75,22,3,28
6,4,15,95,2,0,1.0,0.0,0.0,2,75,23,3,29
6,4,15,95,2,0,1.0,0.0,0.0,2,75,22,3,29
6,5,15,100,5,0,1.0,0.0,0.0,5,75,20,4,28
6,4,15,85,5,0,1.0,0.0,0.0,5,60,19,3,27
7,4,15,100,1,0,1.0,0.0,3.0,1,75,22,3,28
7,4,15,95,2,0,1.0,0.0,0.0,2,75,23,3,29
7,4,15,95,2,0,1.0,0.0,0.0,2,75,22,3,29
7,5,15,100,5,0,1.0,0.0,0.0,5,75,20,4,28
7,4,15,85,5,0,1.0,0.0,0.0,5,60,19,3,27
1,6,15,95,2,0,10.0,0.0,0.0,2,65,23,3,29
1,6,15,95,2,0,10.0,0.0,0.0,2,65,22,3,29
1,6,15,95,5,0,10.0,0.0,0.0,5,65,20,3,28
1,6,15,90,5,0,10.0,0.0,0.0,5,60,19,3,27
1,6,15,90,1,0,10.0,0.0,0.0,1,40,17,3,26
3,6,15,95,2,0,10.0,0.0,0.0,2,65,23,3,29
3,6,15,95,2,0,10.0,0.0,0.0,2,65,22,3,29
3,6,15,95,5,0,10.0,0.0,0.0,5,65,20,3,28
3,6,15,90,5,0,10.0,0.0,0.0,5,60,19,3,27
3,6,15,90,1,0,10.0,0.0,0.0,1,40,17,3,26
4,6,15,95,2,0,10.0,0.0,0.0,2,65,23,3,29
4,6,15,95,2,0,10.0,0.0,0.0,2,65,22,3,29
4,6,15,95,5,0,10.0,0.0,0.0,5,65,20,3,28
4,6,15,90,5,0,10.0,0.0,0.0,5,60,19,3,27
4,6,15,90,1,0,10.0,0.0,0.0,1,40,17,3,26
5,6,15,95,2,0,10.0,0.0,0.0,2,65,23,3,29
5,6,15,95,2,0,10.0,0.0,0.0,2,65,22,3,29
5,6,15,95,5,0,10.0,0.0,0.0,5,65,20,3,28
5,6,15,90,5,0,10.0,0.0,0.0,5,60,19,3,27
5,6,15,90,1,0,10.0,0.0,0.0,1,40,17,3,26
6,6,15,95,2,0,10.0,0.0,0.0,2,65,23,3,29
6,6,15,95,2,0,10.0,0.0,0.0,2,65,22,3,29
6,6,15,95,5,0,10.0,0.0,0.0,5,65,20,3,28
6,6,15,90,5,0,10.0,0.0,0.0,5,60,19,3,27
6,6,15,90,1,0,10.0,0.0,0.0,1,40,17,3,26
7,6,15,95,2,0,10.0,0.0,0.0,2,65,23,3,29
7,6,15,95,2,0,10.0,0.0,0.0,2,65,22,3,29
7,6,15,95,5,0,10.0,0.0,0.0,5,65,20,3,28
7,6,15,90,5,0,10.0,0.0,0.0,5,60,19,3,27
7,6,15,90,1,0,10.0,0.0,0.0,1,40,17,3,26
1,6,15,100,2,0,3.0,0.0,0.0,2,70,23,3,29
1,6,15,90,5,0,8.0,0.0,0.0,5,70,18,3,26
1,6,15,80,1,0,8.0,0.0,0.0,1,50,16,3,25
1,6,15,70,7,0,8.0,0.0,0.0,7,50,16,3,25
2,6,15,100,2,0,3.0,0.0,0.0,2,70,23,3,29
2,6,15,90,5,0,8.0,0.0,0.0,5,70,18,3,26
2,6,15,80,1,0,8.0,0.0,0.0,1,50,16,3,25
3,6,15,100,2,0,3.0,0.0,0.0,2,70,23,3,29
3,6,15,90,5,0,8.0,0.0,0.0,5,70,18,3,26
3,6,15,80,1,0,8.0,0.0,0.0,1,50,16,3,25
3,6,15,70,7,0,8.0,0.0,0.0,7,50,16,3,25
4,6,15,100,2,0,3.0,0.0,0.0,2,70,23,3,29
4,6,15,90,5,0,8.0,0.0,0.0,5,70,18,3,26
4,6,15,80,1,0,8.0,0.0,0.0,1,50,16,3,25
4,6,15,70,7,0,8.0,0.0,0.0,7,50,16,3,25
5,6,15,100,2,0,3.0,0.0,0.0,2,70,23,3,29
5,6,15,90,5,0,8.0,0.0,0.0,5,70,18,3,26
5,6,15,80,1,0,8.0,0.0,0.0,1,50,16,3,25
5,6,15,70,7,0,8.0,0.0,0.0,7,50,16,3,25
6,6,15,100,2,0,3.0,0.0,0.0,2,70,23,3,29
6,6,15,90,5,0,8.0,0.0,0.0,5,70,18,3,26
6,6,15,80,1,0,8.0,0.0,0.0,1,50,16,3,25
6,6,15,70,7,0,8.0,0.0,0.0,7,50,16,3,25
7,6,15,100,2,0,3.0,0.0,0.0,2,70,23,3,29
7,6,15,95,5,0,3.0,0.0,0.0,5,75,20,3,28
7,6,15,90,5,0,8.0,0.0,0.0,5,70,18,3,26
7,6,15,80,1,0,8.0,0.0,0.0,1,50,16,3,25
7,6,15,70,7,0,8.0,0.0,0.0,7,50,16,3,25
1,8,15,95,2,0,5.0,0.0,0.0,2,75,20,4,27
1,5,15,85,1,0,10.0,0.0,0.0,1,50,16,3,24
1,7,15,75,7,0,10.0,0.0,0.0,7,50,16,3,23
1,7,15,100,1,0,5.0,0.0,0.0,1,50,17,3,21
2,8,15,95,2,0,5.0,0.0,0.0,2,75,20,4,27
2,5,15,85,1,0,10.0,0.0,0.0,1,50,16,3,24
2,7,15,75,7,0,10.0,0.0,0.0,7,50,16,3,23
2,7,15,100,1,0,5.0,0.0,0.0,1,50,17,3,21
3,8,15,95,2,0,5.0,0.0,0.0,2,75,20,4,27
3,5,15,85,1,0,10.0,0.0,0.0,1,50,16,3,24
3,7,15,75,7,0,10.0,0.0,0.0,7,50,16,3,23
3,7,15,100,1,0,5.0,0.0,0.0,1,50,17,3,21
4,8,15,95,2,0,5.0,0.0,0.0,2,75,20,4,27
4,5,15,85,1,0,10.0,0.0,0.0,1,50,16,3,24
4,7,15,75,7,0,10.0,0.0,0.0,7,50,16,3,23
4,7,15,100,1,0,5.0,0.0,0.0,1,50,17,3,21
5,7,15,95,2,0,5.0,0.0,0.0,2,75,20,4,27
5,5,15,85,1,0,10.0,0.0,0.0,1,50,16,3,24
5,7,15,100,1,0,5.0,0.0,0.0,1,50,17,3,21
6,7,15,95,2,0,5.0,0.0,0.0,2,75,20,4,27
6,5,15,85,1,0,10.0,0.0,0.0,1,50,16,3,24
6,7,15,100,1,0,5.0,0.0,0.0,1,50,17,3,21
7,7,15,95,2,0,5.0,0.0,0.0,2,75,20,4,27
7,5,15,85,1,0,10.0,0.0,0.0,1,50,16,3,24
7,7,15,100,1,0,5.0,0.0,0.0,1,50,17,3,21
1,6,15,90,1,0,10.0,0.0,0.0,1,70,18,5,24
1,6,15,75,1,0,10.0,0.0,0.0,1,50,17,4,23
1,6,15,75,7,0,10.0,0.0,0.0,7,55,16,3,22
2,6,15,90,1,0,10.0,0.0,0.0,1,70,18,5,24
2,6,15,75,1,0,10.0,0.0,0.0,1,50,17,4,23
2,6,15,75,7,0,10.0,0.0,0.0,7,55,16,3,22
3,6,15,90,1,0,10.0,0.0,0.0,1,70,18,5,24
3,6,15,75,1,0,10.0,0.0,0.0,1,50,17,4,23
3,6,15,75,7,0,10.0,0.0,0.0,7,55,16,3,22
4,6,15,90,1,0,10.0,0.0,0.0,1,70,18,5,24
4,6,15,75,1,0,10.0,0.0,0.0,1,50,17,4,23
4,6,15,75,7,0,10.0,0.0,0.0,7,55,16,3,22
5,6,15,90,1,0,10.0,0.0,0.0,1,70,18,5,24
5,6,15,75,1,0,10.0,0.0,0.0,1,50,17,4,23
5,6,15,75,7,0,10.0,0.0,0.0,7,55,16,3,22
6,6,15,90,1,0,10.0,0.0,0.0,1,70,18,5,24
6,6,15,75,1,0,10.0,0.0,0.0,1,50,17,4,23
6,6,15,75,7,0,10.0,0.0,0.0,7,55,16,3,22
7,6,15,90,1,0,10.0,0.0,0.0,1,70,18,5,24
7,6,15,75,1,0,10.0,0.0,0.0,1,50,17,4,23
7,6,15,75,7,0,10.0,0.0,0.0,7,55,16,3,22
1,5,20,85,1,0,10.0,0.0,0.0,1,50,16,3,24
1,6,15,100,4,0,5.0,0.0,5.0,4,70,17,4,21
2,5,10,95,5,0,1.0,0.0,0.0,5,70,21,3,26
3,5,10,95,5,0,1.0,0.0,0.0,5,70,21,3,26
4,5,20,85,1,0,10.0,0.0,0.0,1,50,16,3,24
4,5,20,85,7,0,8.0,0.0,0.0,7,55,16,3,22
4,6,15,100,4,0,3.0,0.0,4.0,4,70,17,4,21
4,5,10,95,5,0,1.0,0.0,0.0,5,70,20,3,26
4,5,10,95,1,0,1.0,0.0,0.0,1,65,19,3,26
5,5,20,85,1,0,10.0,0.0,0.0,1,45,16,3,25
5,5,20,85,7,0,10.0,0.0,0.0,7,50,16,3,23
5,6,15,100,4,0,5.0,0.0,4.0,4,70,17,4,21
5,5,10,95,5,0,1.0,0.0,0.0,5,70,21,3,27
5,5,10,95,1,0,1.0,0.0,0.0,1,65,20,3,27
1,5,15,85,7,0,10.0,0.0,0.0,7,45,16,4,23
1,5,15,95,4,0,10.0,0.0,4.0,4,65,17,4,21
1,4,15,100,5,0,10.0,0.0,0.0,5,75,21,3,28
1,4,15,95,5,0,10.0,0.0,0.0,5,70,20,3,28
1,4,15,95,1,0,10.0,0.0,0.0,1,65,19,3,26
2,5,15,85,7,0,10.0,0.0,0.0,7,45,16,4,23
2,5,15,95,4,0,10.0,0.0,4.0,4,65,17,4,21
2,4,15,100,5,0,3.0,0.0,0.0,5,75,21,3,28
2,4,15,95,5,0,3.0,0.0,0.0,5,70,20,3,28
2,7,15,95,1,0,10.0,0.0,0.0,1,65,19,3,24
3,5,15,85,7,0,10.0,0.0,0.0,7,45,16,4,23
3,5,15,95,4,0,10.0,0.0,4.0,4,65,17,4,21
3,4,15,100,5,0,3.0,0.0,0.0,5,75,21,3,28
3,4,15,95,5,0,3.0,0.0,0.0,5,70,20,3,28
3,6,15,95,1,0,10.0,0.0,0.0,1,65,19,3,25
4,5,15,85,7,0,10.0,0.0,0.0,7,45,16,4,23
4,5,15,95,4,0,10.0,0.0,4.0,4,65,17,4,21
4,4,15,100,5,0,3.0,0.0,0.0,5,75,21,3,28
4,4,15,95,5,0,3.0,0.0,0.0,5,70,20,3,28
4,7,15,95,1,0,10.0,0.0,0.0,1,65,18,3,24
5,5,15,85,7,0,10.0,0.0,0.0,7,45,16,4,23
5,5,15,95,4,0,10.0,0.0,4.0,4,65,17,4,21
5,4,15,100,5,0,10.0,0.0,0.0,5,75,21,3,28
5,4,15,95,5,0,10.0,0.0,0.0,5,70,20,3,28
5,5,15,95,1,0,10.0,0.0,0.0,1,65,18,3,26
6,5,15,85,7,0,10.0,0.0,0.0,7,45,16,4,23
6,5,15,95,4,0,10.0,0.0,4.0,4,65,17,4,21
6,4,15,100,5,0,3.0,0.0,0.0,5,75,21,3,28
6,4,15,95,5,0,3.0,0.0,0.0,5,70,20,3,28
6,5,15,95,1,0,10.0,0.0,0.0,1,65,19,3,26
7,5,15,85,7,0,10.0,0.0,0.0,7,45,16,4,23
7,5,15,95,4,0,10.0,0.0,4.0,4,65,17,4,21
7,4,15,100,5,0,3.0,0.0,0.0,5,75,21,3,28
7,4,15,95,5,0,3.0,0.0,0.0,5,70,20,3,28
7,5,15,95,1,0,3.0,0.0,0.0,1,65,19,3,25
1,4,15,100,5,0,3.0,0.0,0.0,5,75,21,3,27
1,4,15,100,5,0,3.0,0.0,0.0,5,70,20,3,26
1,5,15,90,1,0,3.0,0.0,0.0,1,70,19,4,25
1,7,15,90,1,0,10.0,0.0,0.0,1,65,17,5,23
1,4,15,85,1,0,10.0,0.0,0.0,1,60,16,3,22
2,4,15,100,5,0,3.0,0.0,0.0,5,75,21,3,27
2,4,15,100,5,0,3.0,0.0,0.0,5,70,20,3,26
2,5,15,90,1,0,3.0,0.0,0.0,1,70,19,4,25
2,7,15,90,1,0,10.0,0.0,0.0,1,65,17,5,23
2,7,15,85,1,0,10.0,0.0,0.0,1,60,16,3,22
3,4,15,100,5,0,3.0,0.0,0.0,5,75,21,3,27
3,4,15,100,5,0,3.0,0.0,0.0,5,70,20,3,26
3,5,15,90,1,0,3.0,0.0,0.0,1,70,19,4,25
3,7,15,90,1,0,10.0,0.0,0.0,1,65,17,5,23
3,6,15,85,1,0,10.0,0.0,0.0,1,60,16,3,22
4,4,15,100,5,0,3.0,0.0,0.0,5,75,21,3,27
4,4,15,100,5,0,3.0,0.0,0.0,5,70,20,3,26
4,5,15,90,1,0,3.0,0.0,0.0,1,70,19,4,25
4,7,15,90,1,0,10.0,0.0,0.0,1,65,17,5,23
5,4,15,100,5,0,3.0,0.0,0.0,5,75,21,3,27
5,4,15,100,5,0,3.0,0.0,0.0,5,70,20,3,26
5,5,15,90,1,0,3.0,0.0,0.0,1,70,19,4,25
5,7,15,90,1,0,10.0,0.0,0.0,1,65,17,5,23
6,4,15,100,5,0,3.0,0.0,0.0,5,75,21,3,27
6,4,15,100,5,0,3.0,0.0,0.0,5,70,20,3,26
6,5,15,90,1,0,3.0,0.0,0.0,1,70,19,4,25
6,7,15,90,1,0,10.0,0.0,0.0,1,65,17,5,23
6,5,15,85,1,0,10.0,0.0,0.0,1,60,16,3,22
7,4,15,100,5,0,3.0,0.0,0.0,5,75,21,3,27
7,4,15,100,5,0,3.0,0.0,0.0,5,70,20,3,26
7,5,15,90,1,0,3.0,0.0,0.0,1,70,19,4,25
7,7,15,90,1,0,10.0,0.0,0.0,1,65,17,5,23
1,6,15,95,1,0,5.0,0.0,0.0,1,65,20,3,26
1,6,15,95,1,0,5.0,0.0,0.0,1,70,20,3,25
1,6,15,95,1,0,5.0,0.0,0.0,1,75,19,3,23
1,7,15,95,1,0,5.0,0.0,0.0,1,65,17,4,22
1,7,15,85,1,0,5.0,0.0,0.0,1,50,14,4,21
2,6,15,95,1,0,5.0,0.0,0.0,1,65,20,3,26
2,6,15,95,1,0,5.0,0.0,0.0,1,70,20,3,25
2,6,15,95,1,0,5.0,0.0,0.0,1,75,19,3,23
2,7,15,95,1,0,5.0,0.0,0.0,1,65,17,4,22
2,7,15,85,1,0,5.0,0.0,0.0,1,50,14,4,21
3,6,15,95,1,0,5.0,0.0,0.0,1,65,20,3,26
3,6,15,95,1,0,5.0,0.0,0.0,1,70,20,3,25
3,6,15,95,1,0,5.0,0.0,0.0,1,75,19,3,23
3,7,15,95,1,0,5.0,0.0,0.0,1,65,17,4,22
3,7,15,85,1,0,5.0,0.0,0.0,1,50,14,4,21
4,6,15,95,1,0,5.0,0.0,0.0,1,65,20,3,26
4,6,15,95,1,0,5.0,0.0,0.0,1,70,20,3,25
4,6,15,95,1,0,5.0,0.0,0.0,1,75,19,3,23
4,7,15,95,1,0,5.0,0.0,0.0,1,65,17,4,22
4,7,15,85,1,0,5.0,0.0,0.0,1,50,14,4,21
5,6,15,95,1,0,5.0,0.0,0.0,1,65,20,3,26
5,6,15,95,1,0,5.0,0.0,0.0,1,70,20,3,25
5,6,15,95,1,0,5.0,0.0,0.0,1,75,19,3,23
5,7,15,95,1,0,5.0,0.0,0.0,1,65,17,4,22
5,7,15,85,1,0,5.0,0.0,0.0,1,50,14,4,21
6,6,15,95,1,0,5.0,0.0,0.0,1,65,20,3,26
6,6,15,95,1,0,5.0,0.0,0.0,1,70,20,3,25
6,6,15,95,1,0,5.0,0.0,0.0,1,75,19,3,23
6,7,15,95,1,0,5.0,0.0,0.0,1,65,17,4,22
6,7,15,85,1,0,5.0,0.0,0.0,1,50,14,4,21
7,6,15,95,1,0,5.0,0.0,0.0,1,65,20,3,26
7,6,15,95,1,0,5.0,0.0,0.0,1,70,20,3,25
7,6,15,95,1,0,5.0,0.0,0.0,1,75,19,3,23
7,7,15,95,1,0,5.0,0.0,0.0,1,65,17,4,22
7,7,15,85,1,0,5.0,0.0,0.0,1,50,14,4,21
1,6,15,95,1,0,5.0,0.0,0.0,1,70,20,4,25
1,6,15,95,1,0,10.0,0.0,0.0,1,75,19,4,23
1,6,15,85,4,0,10.0,0.0,0.0,4,50,14,3,23
2,8,15,95,1,0,10.0,0.0,0.0,1,75,17,5,22
2,8,15,85,1,0,10.0,0.0,0.0,1,55,15,5,21
2,6,15,85,4,0,10.0,0.0,0.0,4,50,14,3,23
3,6,15,95,1,0,5.0,0.0,0.0,1,70,20,4,25
3,6,15,95,1,0,10.0,0.0,0.0,1,75,19,4,23
4,6,15,95,1,0,5.0,0.0,0.0,1,70,20,4,25
4,6,15,95,1,0,10.0,0.0,0.0,1,75,19,4,23
5,6,15,95,1,0,5.0,0.0,0.0,1,70,20,4,25
5,6,15,95,1,0,10.0,0.0,0.0,1,75,19,4,23
6,5,15,85,4,0,10.0,0.0,0.0,4,50,14,3,23
1,7,15,95,1,0,10.0,0.0,0.0,1,75,17,5,22
1,7,15,85,1,0,10.0,0.0,0.0,1,55,15,5,21
